Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",113.500000,-65.550000,180.000000,top
"C2","10uF","C_0805_2012Metric",113.500000,-67.600000,180.000000,top
"C3","10uF","C_0805_2012Metric",102.050000,-57.550000,90.000000,top
"C4","0.1uF","C_0805_2012Metric",113.500000,-63.500000,180.000000,top
"C5","1uF","C_0805_2012Metric",112.700000,-55.200000,0.000000,top
"C6","330pF","C_0805_2012Metric",108.500000,-54.900000,0.000000,top
"C7","0.01uF","C_0805_2012Metric",112.700000,-51.200000,0.000000,top
"C8","330pF","C_0805_2012Metric",105.900000,-51.100000,180.000000,top
"C9","0.01uF","C_0805_2012Metric",112.700000,-53.200000,0.000000,top
"C10","10uF","C_0805_2012Metric",136.450000,-74.200000,-90.000000,top
"C11","1uF","C_0805_2012Metric",139.650000,-74.200000,-90.000000,top
"C12","1uF","C_0805_2012Metric",139.600000,-77.900000,90.000000,top
"C13","10uF","C_0805_2012Metric",119.300000,-84.000000,0.000000,top
"D1","D_Schottky","D_SMA",115.300000,-60.650000,180.000000,top
"D2","LED","LED_0805_2012Metric",96.700000,-59.000000,90.000000,top
"D3","LED","LED_0805_2012Metric",107.300000,-70.600000,90.000000,top
"D4","LED","LED_0805_2012Metric",145.400000,-82.437500,90.000000,top
"D5","LED","LED_0805_2012Metric",126.250000,-88.650000,-90.000000,top
"D7","D_Zener","HPZRC28QX",146.100000,-64.900000,0.000000,top
"F1","Fuse","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal",122.800000,-60.500000,0.000000,top
"IC1","TB67H451FNG,EL","SOIC127P600X170-9N",173.940000,-60.000000,90.000000,top
"IC2","ESP32-S3-WROOM-1-N8","ESP32S3WROOM1N8R8",177.040000,-78.700000,-90.000000,top
"IC3","EMC2101-ACZL-TR","SOP65P490X110-8N",167.000000,-114.100000,180.000000,top
"IC4","TPS25730DREFR","TPS25730DREFR",107.400000,-59.475000,0.000000,top
"IC5","LD1085D2T33R","LD1085D2T33R",122.225000,-75.690000,180.000000,top
"IC6","BD50FC0FP-E2","BD50FC0FPE2",147.555000,-75.500000,-90.000000,top
"IC7","BZX84-C12","SOT95P230X110-3N",149.300000,-81.900000,0.000000,top
"IC8","TPS259573DSGR","SON50P200X200X80-9N",143.000000,-86.862500,0.000000,top
"IC9","TPS259573DSGR","SON50P200X200X80-9N",119.775000,-87.112500,0.000000,top
"J1","Conn_02x12_Odd_Even","PinHeader_2x12_P2.54mm_Vertical",179.220000,-105.560000,-90.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",144.800000,-101.200000,0.000000,top
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",152.060000,-46.400000,90.000000,top
"J4","Conn_01x02_Pin","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",177.700000,-114.500000,180.000000,top
"J5","Screw_Terminal_01x06","PhoenixContact_MSTBA_2,5_6-G-5,08_1x06_P5.08mm_Horizontal",110.600000,-129.822500,0.000000,top
"J6","Screw_Terminal_01x03","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",146.420000,-129.822500,0.000000,top
"J7","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",108.700000,-45.050000,180.000000,top
"J8","Screw_Terminal_01x02","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",126.490000,-51.427500,180.000000,top
"J9","694106301002","BarrelJack_Horizontal",139.000000,-55.050000,-90.000000,top
"J10","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",93.700000,-75.200000,0.000000,top
"J11","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",93.700000,-118.100000,0.000000,top
"J13","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",93.700000,-96.600000,0.000000,top
"JP3","Jumper_3_Bridged12","PinHeader_1x03_P2.54mm_Vertical",153.030000,-86.150000,-90.000000,top
"M1","Motor_DC","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",175.940000,-51.377500,180.000000,top
"M2","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",169.075000,-127.075000,90.000000,top
"M3","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",169.075000,-138.375000,90.000000,top
"M4","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",176.375000,-127.075000,90.000000,top
"M5","Fan_4pin","FanPinHeader_1x04_P2.54mm_Vertical",176.375000,-138.375000,90.000000,top
"Q1","DMN4035L-7","SOT96P240X110-3N",163.050000,-123.750000,0.000000,top
"Q2","DMN4035L-7","SOT96P240X110-3N",163.050000,-119.200000,0.000000,top
"Q3","DMN4035L-7","SOT96P240X110-3N",130.900000,-121.650000,-90.000000,top
"Q4","DMN4035L-7","SOT96P240X110-3N",120.700000,-121.650000,-90.000000,top
"Q5","DMN4035L-7","SOT96P240X110-3N",110.600000,-121.650000,-90.000000,top
"Q6","DMN4035L-7","SOT96P240X110-3N",125.900000,-121.650000,-90.000000,top
"Q7","DMN4035L-7","SOT96P240X110-3N",115.700000,-121.650000,-90.000000,top
"Q8","2N7002NXAKR","SOT95P230X110-3N",151.350000,-121.900000,-90.000000,top
"Q9","DMN4035L-7","SOT96P240X110-3N",95.400000,-66.200000,0.000000,top
"Q10","DMN4035L-7","SOT96P240X110-3N",111.100000,-74.750000,-90.000000,top
"R1","10KOhm","R_0805_2012Metric",116.350000,-107.200000,-90.000000,top
"R2","10KOhm","R_0805_2012Metric",116.350000,-98.000000,-90.000000,top
"R3","10KOhm","R_0805_2012Metric",158.600000,-83.600000,-90.000000,top
"R4","10KOhm","R_0805_2012Metric",160.600000,-82.200000,-90.000000,top
"R5","2KOhm","R_0805_2012Metric",157.900000,-120.100000,0.000000,top
"R6","2KOhm","R_0805_2012Metric",159.800000,-113.300000,90.000000,top
"R7","2K","R_0805_2012Metric",130.940000,-118.500000,0.000000,top
