"Source:","D:\nextcloud\Documents\GitHub\ESPHhome-AIO\KiCad Schematics and pcb\ESPHome AIO.kicad_sch"
"Date:","15/06/2024 12:49:43 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\ian\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","109"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","LCSC","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","5","C1, C2, C3, C10, C13","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"2","1","C4","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"3","3","C5, C11, C12","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"4","2","C6, C8","330pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"5","2","C7, C9","10nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"6","1","D1","D_Schottky","Device:D_Schottky","Diode_SMD:D_SMA","~","","","","","","","","",""
"7","4","D2, D3, D4, D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","",""
"8","1","D7","D_Zener","Device:D_Zener","ComponentSearch:HPZRC28QX","~","","","","","","","","",""
"9","1","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Littelfuse_Nano2_154x","~","","","","","","","","",""
"10","2","H1, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~","","","","","","","","",""
"11","2","H2, H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad","~","","","","","","","","",""
"12","1","IC1","TB67H451FNG,EL","ComponentSearch:TB67H451FNG,EL","ComponentSearch:SOIC127P600X170-9N","https://www.mouser.it/datasheet/2/408/TB67H451FNG_datasheet_en_20191111-1713881.pdf","","TB67H451FNG,EL","https://www.arrow.com/en/products/tb67h451fngel/toshiba?region=nac","1.7","C1858375","Toshiba","TB67H451FNG,EL","757-TB67H451FNGEL","https://www.mouser.co.uk/ProductDetail/Toshiba/TB67H451FNGEL?qs=GBLSl2AkirvH3VmaPkXYfg%3D%3D"
"13","1","IC2","ESP32-S3-WROOM-1-N8","ComponentSearch:ESP32-S3-WROOM-1-N8","ComponentSearch:ESP32S3WROOM1N8R8","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","","","","3.25","C2913198","Espressif Systems","ESP32-S3-WROOM-1-N8R8","356-EP32S3WROOM1N8R8","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1-N8R8?qs=7D1LtPJG0i3%2F28hKFavOpQ%3D%3D"
"14","1","IC3","EMC2101-ACZL-TR","ComponentSearch:EMC2101-ACZL-TR","ComponentSearch:SOP65P490X110-8N","http://ww1.microchip.com/downloads/en/DeviceDoc/2101.pdf","","EMC2101-ACZL-TR","https://www.arrow.com/en/products/emc2101-aczl-tr/microchip-technology?region=nac","1.1","","Microchip","EMC2101-ACZL-TR","886-EMC2101-ACZL-TR","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/EMC2101-ACZL-TR?qs=pA5MXup5wxFIE%2FN8LSbs9g%3D%3D"
"15","1","IC4","TPS25730DREFR","ComponentSearch:TPS25730DREFR_updated","ComponentSearch:TPS25730DREFR","https://www.ti.com/lit/ds/symlink/tps25730.pdf?ts=1707773923998&ref_url=https%253A%252F%252Fwww.mouser.at%252F","","","","0.8","","Texas Instruments","TPS25730DREFR","",""
