Comment,Designator,Footprint,LCSC
330pF,"C6,C8",C_0805_2012Metric,C107115
BZX84-C12,IC7,SOT95P230X110-3N,C108437
D_Zener,D7,HPZRC28QX,C145091
Conn_01x02_Pin,J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
10uF,"C1,C10,C13,C2,C3",C_0805_2012Metric,C15850
10nF,"C7,C9",C_0805_2012Metric,C1710
10K,"R1,R12,R13,R14,R18,R2,R21,R23,R3,R31,R4",R_0805_2012Metric,C17414
110k,R15,R_0805_2012Metric,C17422
11K,"R17,R20",R_0805_2012Metric,C17429
1K,R27,R_0805_2012Metric,C17513
2.2K,R26,R_0805_2012Metric,C17520
2.32K,R25,R_0805_2012Metric,C17522
20.5K,R30,R_0805_2012Metric,C17537
2K,"R10,R11,R5,R6,R7,R8,R9",R_0805_2012Metric,C17604
33K,"R19,R22",R_0805_2012Metric,C17633
487,R28,R_0805_2012Metric,C17718
6.8k,R16,R_0805_2012Metric,C17772
680,R32,R_0805_2012Metric,C17798
715,R29,R_0805_2012Metric,C17813
"TB67H451FNG,EL",IC1,SOIC127P600X170-9N,C1858375
Fan_4pin,"M2,M3,M4,M5",FanPinHeader_1x04_P2.54mm_Vertical,C240840
Conn_01x04,"J10,J11,J13",PinHeader_1x04_P2.54mm_Vertical,C2718488
LED,"D2,D3,D4,D5",LED_0805_2012Metric,C2833068
SW_DPDT_x2,"SW10,SW3,SW4,SW5,SW6,SW8",SW_CuK_JS202011CQN_DPDT_Straight,C2906278
ESP32-S3-WROOM-1-N8,IC2,ESP32S3WROOM1N8R8,C2913198
Conn_01x05,J3,PinHeader_1x05_P2.54mm_Vertical,C2935899
USB_C_Receptacle_USB2.0_16P,J7,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2965608
36.5K,R24,R_0805_2012Metric,C35928
1uF,"C11,C12,C5",C_0805_2012Metric,C376929
XKB Connection DC-005-5A-3.0,J9,BarrelJack_Horizontal,C388625
100nF,C4,C_0805_2012Metric,C49678
Screw_Terminal_01x03,J6,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",C5187974
Screw_Terminal_01x06,J5,"PhoenixContact_MSTBA_2,5_6-G-5,08_1x06_P5.08mm_Horizontal",C5187977
TVS2200DRV,U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C523793
Conn_02x12_Odd_Even,J1,PinHeader_2x12_P2.54mm_Vertical,C5383110
DMN4035L-7,"Q1,Q10,Q2,Q3,Q4,Q5,Q6,Q7,Q9",SOT96P240X110-3N,C560271
EMC2101-ACZL-TR,IC3,SOP65P490X110-8N,C626968
Jumper_3_Bridged12,JP3,PinHeader_1x03_P2.54mm_Vertical,C6332196
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,C6332197
D_Schottky,D1,D_SMA,C669017
2N7002NXAKR,Q8,SOT95P230X110-3N,C71533
SW_Push,"SW1,SW2",SW_PUSH_6mm_H7.3mm,C7463311
LD1085D2T33R,IC5,LD1085D2T33R,C7913
Screw_Terminal_01x02,"J8,M1","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",C8383
BD50FC0FP-E2,IC6,BD50FC0FPE2,C920705
TPS25730DREFR,IC4,TPS25730DREFR,
5V,TP5,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
TPS259573DSGR,IC9,SON50P200X200X80-9N,
SCL,TP1,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
SolderJumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
MountingHole,H4,MountingHole_4.3mm_M4,
3.3V,TP4,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
MountingHole,H1,MountingHole_4.3mm_M4,
TPS259573DSGR,IC8,SON50P200X200X80-9N,
Fuse,F1,Fuseholder_Littelfuse_Nano2_154x,
MountingHole_Pad,H3,MountingHole_4.3mm_M4_Pad,
Power,TP3,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
MountingHole_Pad,H2,MountingHole_4.3mm_M4_Pad,
SDA,TP2,TestPoint_Loop_D2.60mm_Drill1.4mm_Beaded,
