Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,113.5,-65.55,180.0,top
C2,10uF,C_0805_2012Metric,113.5,-67.6,180.0,top
C3,10uF,C_0805_2012Metric,102.05,-57.55,90.0,top
C4,100nF,C_0805_2012Metric,113.5,-63.5,180.0,top
C5,1uF,C_0805_2012Metric,112.7,-55.2,0.0,top
C6,330pF,C_0805_2012Metric,108.5,-54.9,0.0,top
C7,10nF,C_0805_2012Metric,112.7,-51.2,0.0,top
C8,330pF,C_0805_2012Metric,105.9,-51.1,180.0,top
C9,10nF,C_0805_2012Metric,112.7,-53.2,0.0,top
C10,10uF,C_0805_2012Metric,136.45,-74.2,-90.0,top
C11,1uF,C_0805_2012Metric,139.65,-74.2,-90.0,top
C12,1uF,C_0805_2012Metric,139.6,-77.9,90.0,top
C13,10uF,C_0805_2012Metric,119.3,-84.0,0.0,top
D1,D_Schottky,D_SMA,115.3,-60.65,180.0,top
D2,LED,LED_0805_2012Metric,96.7,-59.0,90.0,top
D3,LED,LED_0805_2012Metric,107.3,-70.6,90.0,top
D4,LED,LED_0805_2012Metric,145.4,-82.4375,90.0,top
D5,LED,LED_0805_2012Metric,126.25,-88.65,-90.0,top
D7,D_Zener,HPZRC28QX,145.55,-64.95,0.0,top
F1,Fuse,Fuseholder_Littelfuse_Nano2_154x,128.3,-62.3,0.0,top
IC1,"TB67H451FNG,EL",SOIC127P600X170-9N,173.94,-60.0,90.0,top
IC2,ESP32-S3-WROOM-1-N8,ESP32S3WROOM1N8R8,173.27,-78.7,-90.0,top
IC3,EMC2101-ACZL-TR,SOP65P490X110-8N,167.0,-114.1,180.0,top
IC4,TPS25730DREFR,TPS25730DREFR,107.4,-59.475,0.0,top
IC5,LD1085D2T33R,LD1085D2T33R,125.8,-75.69,180.0,top
IC6,BD50FC0FP-E2,BD50FC0FPE2,147.8,-75.5,-90.0,top
IC7,BZX84-C12,SOT95P230X110-3N,149.3,-81.9,0.0,top
IC8,TPS259573DSGR,SON50P200X200X80-9N,143.0,-86.8625,0.0,top
IC9,TPS259573DSGR,SON50P200X200X80-9N,119.775,-87.1125,0.0,top
J1,Conn_02x12_Odd_Even,PinHeader_2x12_P2.54mm_Vertical,165.25,-106.83,-90.0,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,144.8,-105.01,0.0,top
J3,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,157.14,-46.4,90.0,top
J4,Conn_01x02_Pin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,176.45,-114.5,180.0,top
J5,Screw_Terminal_01x06,"PhoenixContact_MSTBA_2,5_6-G-5,08_1x06_P5.08mm_Horizontal",123.3,-129.8225,0.0,top
J6,Screw_Terminal_01x03,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",151.5,-129.8225,0.0,top
J7,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,108.7,-46.235,180.0,top
J8,Screw_Terminal_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",123.95,-51.4275,180.0,top
J9,XKB Connection DC-005-5A-3.0,BarrelJack_Horizontal,136.65,-52.175,-90.0,top
J10,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,93.7,-79.01,0.0,top
J11,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,93.7,-121.91,0.0,top
J13,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,93.7,-100.41,0.0,top
JP3,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,150.49,-86.15,-90.0,top
M1,Screw_Terminal_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",173.4,-51.3775,180.0,top
M2,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,168.2275,-123.265,90.0,top
M3,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,168.2275,-134.565,90.0,top
M4,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,175.5275,-123.265,90.0,top
M5,Fan_4pin,FanPinHeader_1x04_P2.54mm_Vertical,175.5275,-134.565,90.0,top
Q1,DMN4035L-7,SOT96P240X110-3N,163.05,-123.75,0.0,top
Q2,DMN4035L-7,SOT96P240X110-3N,163.05,-119.2,0.0,top
Q3,DMN4035L-7,SOT96P240X110-3N,130.9,-121.65,-90.0,top
Q4,DMN4035L-7,SOT96P240X110-3N,120.7,-121.65,-90.0,top
Q5,DMN4035L-7,SOT96P240X110-3N,110.6,-121.65,-90.0,top
Q6,DMN4035L-7,SOT96P240X110-3N,125.9,-121.65,-90.0,top
Q7,DMN4035L-7,SOT96P240X110-3N,115.7,-121.65,-90.0,top
Q8,2N7002NXAKR,SOT95P230X110-3N,151.35,-121.9,-90.0,top
Q9,DMN4035L-7,SOT96P240X110-3N,95.4,-66.2,0.0,top
Q10,DMN4035L-7,SOT96P240X110-3N,111.1,-74.75,-90.0,top
R1,10K,R_0805_2012Metric,116.35,-107.2,-90.0,top
R2,10K,R_0805_2012Metric,116.35,-98.0,-90.0,top
R3,10K,R_0805_2012Metric,158.6,-83.6,-90.0,top
R4,10K,R_0805_2012Metric,160.6,-82.2,-90.0,top
R5,2K,R_0805_2012Metric,157.9,-120.1,0.0,top
R6,2K,R_0805_2012Metric,159.8,-113.3,90.0,top
R7,2K,R_0805_2012Metric,130.94,-118.5,0.0,top
R8,2K,R_0805_2012Metric,120.74,-118.5,0.0,top
R9,2K,R_0805_2012Metric,110.64,-118.3,0.0,top
R10,2K,R_0805_2012Metric,125.99,-118.5,0.0,top
R11,2K,R_0805_2012Metric,115.79,-118.5,0.0,top
R12,10K,R_0805_2012Metric,151.45,-118.7,180.0,top
R13,10K,R_0805_2012Metric,147.65,-123.0,0.0,top
R14,10k,R_0805_2012Metric,108.25,-63.75,0.0,top
R15,110k,R_0805_2012Metric,100.0,-58.95,-90.0,top
R16,6.8k,R_0805_2012Metric,100.0,-62.4,-90.0,top
R17,11K,R_0805_2012Metric,93.8,-59.0,-90.0,top
R18,10K,R_0805_2012Metric,93.8,-62.5,-90.0,top
R19,33K,R_0805_2012Metric,96.7,-62.6,-90.0,top
R20,11K,R_0805_2012Metric,108.2,-67.2,0.0,top
R21,10K,R_0805_2012Metric,111.0,-71.2,0.0,top
R22,33K,R_0805_2012Metric,107.7,-74.3,-90.0,top
R23,10K,R_0805_2012Metric,139.375,-87.05,-90.0,top
R24,36.5K,R_0805_2012Metric,139.375,-83.55,-90.0,top
R25,2.32K,R_0805_2012Metric,153.1,-89.85,-90.0,top
R26,2.2K,R_0805_2012Metric,142.55,-81.4375,0.0,top
R27,1K,R_0805_2012Metric,142.55,-83.4375,180.0,top
R28,487,R_0805_2012Metric,147.9,-89.85,-90.0,top
R29,715,R_0805_2012Metric,123.625,-85.45,90.0,top
R30,20.5K,R_0805_2012Metric,116.275,-85.975,-90.0,top
R31,10K,R_0805_2012Metric,116.275,-89.45,-90.0,top
R32,680,R_0805_2012Metric,123.475,-88.55,0.0,top
SW1,SW_Push,SW_PUSH_6mm_H7.3mm,122.55,-108.5,0.0,top
SW2,SW_Push,SW_PUSH_6mm_H7.3mm,122.55,-99.3,0.0,top
SW3,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-74.0,90.0,top
SW4,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-116.8,90.0,top
SW5,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-83.9,90.0,top
SW6,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-126.7,90.0,top
SW8,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-95.4,90.0,top
SW10,SW_DPDT_x2,SW_CuK_JS202011CQN_DPDT_Straight,101.15,-105.3,90.0,top
U1,TVS2200DRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,113.0,-57.5,180.0,top
